source,target,weight
MARTIN L KING JR DR @ FLORIDA AVE,MARTIN L KING JR DR SW @ BARFIELD AVE SW,0.18
MARTIN L KING JR DR SW @ BARFIELD AVE SW,MARTIN L KING JR DR SW @ WYNNWOOD,0.178
MARTIN L KING JR DR SW @ BARFIELD AVE SW,MARTIN L KING JR DR SW @ FAIRFIELD PL NW,0.079
MARTIN L KING JR DR SW @ BARFIELD AVE SW,BARFIELD AVE @ MARTIN L KING JR DR SW,0.053
MARTIN L KING JR DR SW @ WYNNWOOD,MARTIN LUTHER KING J DR @ LARCHWOOD,0.096
MARTIN LUTHER KING J DR @ LARCHWOOD,MARTIN LUTHER KING J DR @ 2085,0.131
MARTIN LUTHER KING J DR @ 2085,MARTIN LUTHER KING J DR SW @ 2021,0.151
MARTIN LUTHER KING J DR SW @ 2021,MARTIN LUTHER KING J DR @ ANDERSON AVE SW,0.3
MARTIN LUTHER KING J DR SW @ 2021,ANDERSON AVE @ 93,0.389
MARTIN LUTHER KING J DR @ ANDERSON AVE SW,MARTIN L KING JR DR NW @ GORDON TER,0.227
MARTIN L KING JR DR NW @ GORDON TER,MARTIN L KING JR DR NW @ RACINE ST SW,0.106
MARTIN L KING JR DR NW @ RACINE ST SW,MARTIN L KING JR DR SW @ LAUREL AVE SW,0.056
MARTIN L KING JR DR SW @ LAUREL AVE SW,MARTIN L KING JR DR NW @ WELLINGTON ST SW,0.151
MARTIN L KING JR DR SW @ LAUREL AVE SW,WELLINGTON ST @ MARTIN L KING JR DR,0.122
MARTIN L KING JR DR NW @ WELLINGTON ST SW,MARTIN L KING JR DR NW @ MATHEWSON PL SW,0.109
MARTIN L KING JR DR NW @ WELLINGTON ST SW,MARTIN L KING JR DR NW @ WELLINGTON ST SW,0.0
MARTIN L KING JR DR NW @ WELLINGTON ST SW,MARTIN L KING JR DR NW @ BROWNING ST SW,0.151
MARTIN L KING JR DR NW @ MATHEWSON PL SW,MARTIN L KING JR DR NW @ 1444,0.075
MARTIN L KING JR DR NW @ MATHEWSON PL SW,MARTIN L KING JR DR NW @ WELLINGTON ST SW,0.109
MARTIN L KING JR DR NW @ 1444,MARTIN LUTHER KING J DR @ CHAPPELL RD,0.087
MARTIN LUTHER KING J DR @ CHAPPELL RD,MARTIN LUTHER KING J @ CHICAMAUGA AVE,0.078
MARTIN LUTHER KING J @ CHICAMAUGA AVE,MARTIN LUTHER KING J DR SW @ CERRO ST,0.132
MARTIN LUTHER KING J DR SW @ CERRO ST,MARTIN LUTHER KING J DR SW @ BURBANK,0.093
MARTIN LUTHER KING J DR SW @ BURBANK,MARTIN LUTHER KING J @ STAFFORD ST,0.095
MARTIN LUTHER KING J @ STAFFORD ST,MARTIN L KING JR DR @ MORRIS BROWN,0.093
MARTIN L KING JR DR @ MORRIS BROWN,MARTIN LUTHER KING J @ HUNTER PL N,0.076
MARTIN LUTHER KING J @ HUNTER PL N,MARTIN LUTHER KING J DR @ OLLIE ST,0.146
MARTIN LUTHER KING J DR @ OLLIE ST,MARTIN LUTHER KING J DR @ WHITEHOUSE DR,0.079
MARTIN LUTHER KING J DR @ WHITEHOUSE DR,MARTIN L KING JR DR @ JOSEPH E LOWERY BLVD,0.126
MARTIN L KING JR DR @ JOSEPH E LOWERY BLVD,MARTIN L KING JR DR @ PASCHAL BLVD SW,0.19
MARTIN L KING JR DR @ PASCHAL BLVD SW,MARTIN L KING JR DR @ JAMES P BRAWLEY  DR SW,0.092
MARTIN L KING JR DR @ JAMES P BRAWLEY  DR SW,MARTIN L KING JR DR @ GRIFFIN ST,0.075
MARTIN L KING JR DR @ GRIFFIN ST,MARTIN L KING JR DR @ SUNSET AVE,0.074
MARTIN L KING JR DR @ SUNSET AVE,TATNALL ST @ WALNUT ST,0.191
TATNALL ST @ WALNUT ST,MITCHELL ST @ NORTHSIDE DR,0.222
MITCHELL ST @ NORTHSIDE DR,MITCHELL ST @ MANGUM ST,0.229
MITCHELL ST @ MANGUM ST,MITCHELL ST @ TED TURNER DR,0.214
MITCHELL ST @ TED TURNER DR,FORSYTH ST @ MARTIN L KING JR DR,0.129
FORSYTH ST @ MARTIN L KING JR DR,FORSYTH ST SW @ ALABAMA ST SW (FIVE POINTS STATION),0.119
FORSYTH ST SW @ ALABAMA ST SW (FIVE POINTS STATION),MARIETTA ST NW @ PEACHTREE ST,0.146
FORSYTH ST SW @ ALABAMA ST SW (FIVE POINTS STATION),FORSYTH ST SW @ MITCHELL ST SW,0.144
FORSYTH ST SW @ ALABAMA ST SW (FIVE POINTS STATION),PEACHTREE ST @ ANDREW YOUNG INTL BLVD,0.476
MARIETTA ST NW @ PEACHTREE ST,DECATUR ST @ KIMBALL WAY,0.102
DECATUR ST @ KIMBALL WAY,DECATUR ST SE @ SHIRLEY C FRANKLIN BLVD,0.063
DECATUR ST SE @ SHIRLEY C FRANKLIN BLVD,DECATUR ST SE @ COLLINS ST SE,0.083
DECATUR ST SE @ COLLINS ST SE,PIEDMONT AVE  SE @ GILMER ST SE,0.142
DECATUR ST SE @ COLLINS ST SE,DECATUR ST SE @ PEACHTREE CENTER AVE,0.08
DECATUR ST SE @ COLLINS ST SE,DECATUR ST SE @ PIEDMONT AVE SE,0.074
PIEDMONT AVE  SE @ GILMER ST SE,AUBURN AVE NE @ JESSE HILL JR DR NE,0.315
PIEDMONT AVE  SE @ GILMER ST SE,COCA COLA PL SE @ JESSE HILL JR DR SE,0.19
AUBURN AVE NE @ JESSE HILL JR DR NE,AUBURN AVE NE @ HILLIARD ST NE,0.192
AUBURN AVE NE @ HILLIARD ST NE,AUBURN AVE @ WILLIAM H BORDERS SR DR,0.083
AUBURN AVE @ WILLIAM H BORDERS SR DR,JACKSON ST NE @ OLD WHEAT ST NE,0.056
JACKSON ST NE @ OLD WHEAT ST NE,JACKSON ST NE @ IRWIN ST NE,0.104
JACKSON ST NE @ OLD WHEAT ST NE,JACKSON ST @ EDGEWOOD AVE,0.095
JACKSON ST NE @ IRWIN ST NE,IRWIN ST NE @ BOULEVARD NE,0.15
JACKSON ST NE @ IRWIN ST NE,JACKSON ST NE @ OLD WHEAT ST NE,0.104
JACKSON ST NE @ IRWIN ST NE,JACKSON ST @ JOHN WESLEY DOBBS AVE,0.087
IRWIN ST NE @ BOULEVARD NE,IRWIN ST NE @ RANDOLPH ST NE,0.178
IRWIN ST NE @ RANDOLPH ST NE,JOHN WESLEY DOBBS AVE @ HOWELL ST,0.159
JOHN WESLEY DOBBS AVE @ HOWELL ST,JOHN WESLEY DOBBS AVE @ JACKSON ST,0.199
JOHN WESLEY DOBBS AVE @ JACKSON ST,JACKSON ST NE @ IRWIN ST NE,0.111
JACKSON ST @ EDGEWOOD AVE,EDGEWOOD AVE @ HILLIARD ST,0.141
JACKSON ST @ EDGEWOOD AVE,JACKSON ST SE @ CHAMBERLAIN ST SE,0.057
EDGEWOOD AVE @ HILLIARD ST,EDGEWOOD AVE @ JESSE HILL JR DR,0.22
EDGEWOOD AVE @ HILLIARD ST,KING HISTORIC DISTRICT,0.133
EDGEWOOD AVE @ JESSE HILL JR DR,EDGEWOOD AVE SE @ COURTLAND ST SE,0.199
EDGEWOOD AVE SE @ COURTLAND ST SE,EDGEWOOD AVE @ PEACHTREE CENTER AVE,0.114
EDGEWOOD AVE @ PEACHTREE CENTER AVE,EDGEWOOD AVE @ PEACHTREE ST,0.189
EDGEWOOD AVE @ PEACHTREE ST,FORSYTH ST SW @ ALABAMA ST SW (FIVE POINTS STATION),0.182
FORSYTH ST SW @ MITCHELL ST SW,FORSYTH ST SW @ TRINITY AVE SW,0.132
FORSYTH ST SW @ MITCHELL ST SW,MITCHELL ST SW @ PEACHTREE ST,0.101
FORSYTH ST SW @ MITCHELL ST SW,PEACHTREE ST SW @ MITCHELL ST SW,0.111
FORSYTH ST SW @ TRINITY AVE SW,TRINITY AVE SW @ TED TURNER DR SW,0.082
FORSYTH ST SW @ TRINITY AVE SW,TED TURNER DR SW @ BROTHERTON ST SW,0.2
TRINITY AVE SW @ TED TURNER DR SW,MITCHELL ST SW @ NORTHSIDE DR SW,0.437
TRINITY AVE SW @ TED TURNER DR SW,FORSYTH ST @ MARTIN L KING JR DR,0.217
TRINITY AVE SW @ TED TURNER DR SW,PETERS ST SW @ HAYNES ST SW,0.211
MITCHELL ST SW @ NORTHSIDE DR SW,TATNALL ST @ MARTIN L KING JR DR,0.24
TATNALL ST @ MARTIN L KING JR DR,MARTIN L KING JR DR NW @ SUNSET AVE NW,0.154
MARTIN L KING JR DR NW @ SUNSET AVE NW,MARTIN L KING JR DR NW @ JAMES P BRAWLEY DR NW,0.156
MARTIN L KING JR DR NW @ JAMES P BRAWLEY DR NW,MARTIN L KING JR DR NW @ PASCHAL BLVD SW,0.096
MARTIN L KING JR DR NW @ PASCHAL BLVD SW,MARTIN L KING JR DR NW @ JOSEPH E LOWERY BLVD NW,0.178
MARTIN L KING JR DR NW @ PASCHAL BLVD SW,JOSEPH E LOWERY BLVD @ BECKWITH ST SW,0.264
MARTIN L KING JR DR NW @ JOSEPH E LOWERY BLVD NW,MARTIN L KING JR DR NW @ BOOKER ST NW,0.168
MARTIN L KING JR DR NW @ BOOKER ST NW,MARTIN L KING JR DR NW @ OLLIE ST NW,0.05
MARTIN L KING JR DR NW @ OLLIE ST NW,MARTIN L KING JR DR NW @ HUNTER PL NW,0.158
MARTIN L KING JR DR NW @ HUNTER PL NW,MARTIN L KING JR DR NW @ MORRIS BROWN DR SW,0.074
MARTIN L KING JR DR NW @ MORRIS BROWN DR SW,MARTIN L KING JR DR NW @ STAFFORD ST SW,0.089
MARTIN L KING JR DR NW @ STAFFORD ST SW,MARTIN L KING JR DR NW @ BURBANK DR NW,0.087
MARTIN L KING JR DR NW @ BURBANK DR NW,MARTIN L KING JR DR NW @ CERRO ST SW,0.092
MARTIN L KING JR DR NW @ CERRO ST SW,MARTIN L KING JR DR NW @ CHICAMAUGA AVE NW,0.13
MARTIN L KING JR DR NW @ CHICAMAUGA AVE NW,MARTIN L KING JR DR NW @ CHAPPELL RD,0.081
MARTIN L KING JR DR NW @ CHAPPELL RD,MARTIN L KING JR DR NW @ 1457,0.082
MARTIN L KING JR DR NW @ 1457,MARTIN L KING JR DR NW @ MATHEWSON PL SW,0.091
MARTIN L KING JR DR NW @ BROWNING ST SW,MARTIN L KING JR DR NW @ FEDERAL DR SW,0.119
MARTIN L KING JR DR NW @ FEDERAL DR SW,MARTIN L KING JR DR NW @ W LAKE AVE SW,0.062
MARTIN L KING JR DR NW @ W LAKE AVE SW,MARTIN L KING JR DR SW @ ANDERSON AVE NW,0.248
MARTIN L KING JR DR NW @ W LAKE AVE SW,WEST LAKE STATION - EAST LOOP,0.15
MARTIN L KING JR DR SW @ ANDERSON AVE NW,MARTIN L KING JR DR SW @ 2001,0.196
MARTIN L KING JR DR SW @ 2001,MARTIN L KING JR DR SW @ 2051,0.13
MARTIN L KING JR DR SW @ 2051,MARTIN L KING JR DR SW @ 2085,0.109
MARTIN L KING JR DR SW @ 2085,MARTIN L KING JR DR SW @ WILSON AVE,0.102
MARTIN L KING JR DR SW @ WILSON AVE,MARTIN L KING JR DR SW @ LAMAR AVE,0.132
MARTIN L KING JR DR SW @ LAMAR AVE,MARTIN L KING JR DR SW @ BARFIELD AVE SW,0.141
MARTIN L KING JR DR SW @ LAMAR AVE,BARFIELD AVE @ MARTIN L KING JR DR SW,0.149
MARTIN L KING JR DR SW @ FAIRFIELD PL NW,MARTIN L KING JR DR NW @ FLORIDA AVE SW,0.13
MARTIN L KING JR DR NW @ FLORIDA AVE SW,MARTIN L KING JR DR SW @ HAMILTON E HOLMES DR NW,0.09
MARTIN L KING JR DR SW @ HAMILTON E HOLMES DR NW,HAMILTON E HOLMES STATION - BUS LOOP,0.23
MARTIN L KING JR DR SW @ HAMILTON E HOLMES DR NW,MARTIN L KING JR DR SW @ 2500,0.202
INMAN PARK/REYNOLDSTOWN STATION - SOUTH LOOP,SEABOARD AVE NE @ MORELAND AVE NE,0.234
SEABOARD AVE NE @ MORELAND AVE NE,MORELAND AVE NE @ WADE ST NE,0.124
MORELAND AVE NE @ WADE ST NE,MORELAND AVE NE @ BOULEVARD DR NE,0.199
MORELAND AVE NE @ BOULEVARD DR NE,MORELAND AVE NE @ WYLIE ST SE,0.106
MORELAND AVE NE @ WYLIE ST SE,MORELAND AVE SE @ KIRKWOOD AVE SE,0.165
MORELAND AVE SE @ KIRKWOOD AVE SE,MORELAND AVE SE @ MEMORIAL DR SE,0.164
MORELAND AVE SE @ MEMORIAL DR SE,MORELAND AVE SE @ FAITH AVE SE,0.277
MORELAND AVE SE @ MEMORIAL DR SE,MORELAND AVE SE @ MERLIN AVE SE,0.154
MORELAND AVE SE @ FAITH AVE SE,MORELAND AVE SE @ SANDERS AVE SE,0.102
MORELAND AVE SE @ SANDERS AVE SE,MORELAND AVE SE @ GLENWOOD AVE,0.092
MORELAND AVE SE @ SANDERS AVE SE,GLENWOOD AVE SE @ BROWNWOOD AVE SE,0.141
MORELAND AVE SE @ GLENWOOD AVE,MORELAND AVE SE @ PORTLAND AVE SE,0.096
MORELAND AVE SE @ PORTLAND AVE SE,MORELAND AVE SE @ WOODLAND AVE SE,0.114
MORELAND AVE SE @ WOODLAND AVE SE,MORELAND AVE SE @ BERNE ST SE,0.105
MORELAND AVE SE @ BERNE ST SE,MORELAND AVE SE @ HALL AVE SE,0.068
MORELAND AVE SE @ BERNE ST SE,MORELAND AVE SE @ PORTLAND AVE,0.191
MORELAND AVE SE @ HALL AVE SE,MORELAND AVE SE @ ORMEWOOD AVE SE,0.09
MORELAND AVE SE @ ORMEWOOD AVE SE,MORELAND AVE SE @ GRACEWOOD AVE SE,0.071
MORELAND AVE SE @ ORMEWOOD AVE SE,MORELAND AVE SE @ HALL ST SE,0.075
MORELAND AVE SE @ GRACEWOOD AVE SE,MORELAND AVE SE @ DELAWARE AVE SE,0.064
MORELAND AVE SE @ GRACEWOOD AVE SE,MORELAND AVE SE @ ORMEWOOD AVE SE,0.071
MORELAND AVE SE @ DELAWARE AVE SE,MORELAND AVE SE @ EDEN AVE SE,0.119
MORELAND AVE SE @ DELAWARE AVE SE,MORELAND AVE SE @ GRACEWOOD AVE SE,0.064
MORELAND AVE SE @ EDEN AVE SE,MORELAND AVE SE @ STONEYBROOK DR,0.073
MORELAND AVE SE @ STONEYBROOK DR,MORELAND AVE SE @ LYNDALE DR SE,0.122
MORELAND AVE SE @ LYNDALE DR SE,MORELAND AVE SE @ BURNS ST SE,0.058
MORELAND AVE SE @ LYNDALE DR SE,MORELAND AVE @ STONEYBROOK DR,0.097
MORELAND AVE SE @ BURNS ST SE,MORELAND AVE SE @ UNITED AVE,0.135
MORELAND AVE SE @ UNITED AVE,MORELAND AVE @ VICKERS ST,0.184
MORELAND AVE @ VICKERS ST,MORELAND AVE SE @ EASTLAND RD SE,0.155
MORELAND AVE SE @ EASTLAND RD SE,MORELAND AVE SE @ CUSTER AVE SE,0.247
MORELAND AVE SE @ EASTLAND RD SE,MORELAND AVE SE @ VILLAGE CREEK LNDG,0.177
MORELAND AVE SE @ CUSTER AVE SE,MORELAND AVE @ 1475,0.226
MORELAND AVE SE @ CUSTER AVE SE,MORELAND AVE SE @ EASTLAND RD SE,0.247
MORELAND AVE @ 1475,MORELAND AVE SE @ MORELAND DR SE,0.234
MORELAND AVE SE @ MORELAND DR SE,MORELAND AVE SE @ MCDONOUGH BLVD SE,0.355
MORELAND AVE SE @ MORELAND DR SE,MORELAND DR @ WOODLAND AVE,0.153
MORELAND AVE SE @ MCDONOUGH BLVD SE,MORELAND AVE SE @ ISA DR SE,0.245
MORELAND AVE SE @ MCDONOUGH BLVD SE,HENRY THOMAS DR SE (E) @ KIPLING ST SE,0.166
MORELAND AVE SE @ MCDONOUGH BLVD SE,MORELAND AVE @ MORELAND INDUS BLVD,0.338
MORELAND AVE SE @ ISA DR SE,MORELAND AVE SE @ HILLCREST DR,0.127
MORELAND AVE SE @ ISA DR SE,MORELAND AVE SE @ MCDONOUGH BLVD SE,0.245
MORELAND AVE SE @ HILLCREST DR,MORELAND AVE @ KEY RD,0.213
MORELAND AVE @ KEY RD,MORELAND AVE SE @ CONSTITUTION RD SE,0.134
MORELAND AVE SE @ CONSTITUTION RD SE,REGIS RD SE @ CONSTITUTION RD SE,0.109
MORELAND AVE SE @ CONSTITUTION RD SE,BAILEY ST SE @ FAYETTEVILLE RD SE,0.437
REGIS RD SE @ CONSTITUTION RD SE,VALLEY VIEW RD @ LOCUST LN SE,0.123
REGIS RD SE @ CONSTITUTION RD SE,MORELAND AVE SE @ KEY RD SE,0.213
VALLEY VIEW RD @ LOCUST LN SE,VALLEY VIEW RD SE @ 1086,0.038
VALLEY VIEW RD SE @ 1086,VALLEY VIEW RD SE @ 1056,0.059
VALLEY VIEW RD SE @ 1056,VALLEY VIEW RD SE @ LEILA LN SE,0.117
VALLEY VIEW RD SE @ LEILA LN SE,VALLEY VIEW RD SE @ STONEWALL DR SE,0.039
VALLEY VIEW RD SE @ LEILA LN SE,VALLEY VIEW RD SE @ 1069,0.123
VALLEY VIEW RD SE @ STONEWALL DR SE,STONEWALL DR SE @ OHARA PL SE,0.079
STONEWALL DR SE @ OHARA PL SE,CONSTITUTION RD @ 960,0.11
STONEWALL DR SE @ OHARA PL SE,VALLEY VIEW RD SE @ LEILA LN SE,0.115
CONSTITUTION RD @ 960,CONSTITUTION RD @ FORREST PARK RD,0.106
CONSTITUTION RD @ FORREST PARK RD,CONSTITUTION RD SE @ JONESBORO RD SE,0.376
CONSTITUTION RD SE @ JONESBORO RD SE,JONESBORO RD SE @ MIDWAY ST SE,0.28
HENRY THOMAS DR SE (E) @ KIPLING ST SE,TURNER RD SE @ KIPLING ST SE,0.174
TURNER RD SE @ KIPLING ST SE,TURNER RD SE @ ISA DR SE,0.184
TURNER RD SE @ KIPLING ST SE,KIPLING ST SE @ HENRY THOMAS DR SE,0.14
TURNER RD SE @ ISA DR SE,THOMASVILLE DR SE @ TURNER RD SE,0.213
THOMASVILLE DR SE @ TURNER RD SE,THOMASVILLE DR SE @ THOMASVILLE CT SE,0.114
THOMASVILLE DR SE @ THOMASVILLE CT SE,THOMASVILLE DR SE @ FORREST PARK RD SE,0.106
THOMASVILLE DR SE @ FORREST PARK RD SE,FORREST PARK RD SE @ NORWOOD RD SE,0.122
FORREST PARK RD SE @ NORWOOD RD SE,FORREST PARK RD SE @ 2155,0.137
FORREST PARK RD SE @ NORWOOD RD SE,FORREST PARK RD SE @ THOMASVILLE DR S,0.118
FORREST PARK RD SE @ 2155,FORREST PARK RD SE @ CONSTITUTION RD SE,0.119
FORREST PARK RD SE @ CONSTITUTION RD SE,FORREST PARK RD SE @ STONEWALL DR SE,0.144
FORREST PARK RD SE @ STONEWALL DR SE,FORREST PARK RD SE @ MIDWAY ST SE,0.091
FORREST PARK RD SE @ STONEWALL DR SE,FORREST PARK RD SE @ CONSTITUTION RD,0.119
FORREST PARK RD SE @ MIDWAY ST SE,REDFORD DR SE @ FORREST PARK RD SE,0.079
REDFORD DR SE @ FORREST PARK RD SE,REDFORD DR SE @ 955,0.105
REDFORD DR SE @ 955,REDFORD DR @ NATHAM DR,0.091
REDFORD DR @ NATHAM DR,REDFORD DR SE @ REBEL FOREST DR SE,0.138
REDFORD DR SE @ REBEL FOREST DR SE,REBEL FOREST DR SE @ NATHAM DR SE,0.144
REBEL FOREST DR SE @ NATHAM DR SE,REBEL FOREST DR SE @ FORREST PARK RD,0.167
REBEL FOREST DR SE @ FORREST PARK RD,FORREST PARK RD SE @ NATHAM DR SE,0.088
FORREST PARK RD SE @ NATHAM DR SE,FORREST PARK RD SE @ STONEWALL DR SE,0.124
FORREST PARK RD SE @ CONSTITUTION RD,FORREST PARK RD SE @ NORWOOD RD SE,0.283
FORREST PARK RD SE @ CONSTITUTION RD,CONSTITUTION RD SE @ STONEWALL DR SE,0.163
FORREST PARK RD SE @ THOMASVILLE DR S,THOMASVILLE DR SE @ THOMASVILLE CT,0.081
THOMASVILLE DR SE @ THOMASVILLE CT,THOMASVILLE DR SE @ KIPLING ST SE,0.144
THOMASVILLE DR SE @ KIPLING ST SE,TURNER RD SE @ VELMA ST SE,0.161
TURNER RD SE @ VELMA ST SE,TURNER RD SE @ KIPLING ST SE,0.241
KIPLING ST SE @ HENRY THOMAS DR SE,HENRY THOMAS DR SE (E) @ MCDONOUGH BLVD SE,0.133
KIPLING ST SE @ HENRY THOMAS DR SE,ISA DR SE @ MORELAND AVE SE,0.228
HENRY THOMAS DR SE (E) @ MCDONOUGH BLVD SE,MORELAND AVE @ MORELAND INDUS BLVD,0.345
MORELAND AVE @ MORELAND INDUS BLVD,MORELAND AVE @ 1460,0.183
MORELAND AVE @ 1460,MORELAND AVE SE @ CUSTER AVE SE,0.293
MORELAND AVE SE @ VILLAGE CREEK LNDG,MORELAND AVE @ SKY HAVEN RD,0.152
MORELAND AVE SE @ VILLAGE CREEK LNDG,UNITED AVE @ MORELAND AVE SE,0.146
MORELAND AVE @ SKY HAVEN RD,MORELAND AVE SE @ BEECHVIEW DR SE,0.118
MORELAND AVE SE @ BEECHVIEW DR SE,MORELAND AVE SE @ LYNDALE DR SE,0.084
MORELAND AVE @ STONEYBROOK DR,MORELAND AVE @ EDEN AVE,0.093
MORELAND AVE @ EDEN AVE,MORELAND AVE SE @ DELAWARE AVE SE,0.124
MORELAND AVE SE @ HALL ST SE,MORELAND AVE SE @ BERNE ST SE,0.081
MORELAND AVE SE @ PORTLAND AVE,MORELAND AVE SE @ GLENWOOD AVE SE,0.077
MORELAND AVE SE @ GLENWOOD AVE SE,MORELAND AVE SE @ METROPOLITAN AVE SE,0.088
MORELAND AVE SE @ METROPOLITAN AVE SE,MORELAND AVE SE @ MCPHERSON AVE SE,0.125
MORELAND AVE SE @ MCPHERSON AVE SE,MORELAND AVE SE @ MEMORIAL DR SE,0.304
MORELAND AVE SE @ MERLIN AVE SE,MORELAND AVE SE @ WYLIE ST SE,0.186
MORELAND AVE SE @ WYLIE ST SE,MORELAND AVE SE @ HOSEA L WILLIAMS DR NE,0.08
MORELAND AVE SE @ HOSEA L WILLIAMS DR NE,MORELAND AVE NE @ HARDEE ST NE,0.145
MORELAND AVE NE @ HARDEE ST NE,SEABOARD AVE NE @ BRANTLEY ST NE,0.2
SEABOARD AVE NE @ BRANTLEY ST NE,INMAN PARK/REYNOLDSTOWN STATION - SOUTH LOOP,0.221
JONESBORO RD SE @ MIDWAY ST SE,JONESBORO RD SE @ MCWILLIAMS RD SE,0.085
JONESBORO RD SE @ MIDWAY ST SE,JONESBORO RD SE @ 2267,0.139
JONESBORO RD SE @ MCWILLIAMS RD SE,HARGIS ST SE @ FORREST PARK RD SE,0.227
JONESBORO RD SE @ MCWILLIAMS RD SE,JONESBORO RD SE @ 2491,0.192
JONESBORO RD SE @ MCWILLIAMS RD SE,JONESBORO RD SE @ MIDWAY ST SE,0.085
HARGIS ST SE @ FORREST PARK RD SE,FORREST PARK RD SE @ NATHAM DR SE,0.141
CONSTITUTION RD SE @ STONEWALL DR SE,STONEWALL DR SE @ OHARA PL SE,0.09
VALLEY VIEW RD SE @ 1069,VALLEY VIEW RD SE @ REGIS RD SE,0.13
VALLEY VIEW RD SE @ REGIS RD SE,REGIS RD SE @ CONSTITUTION RD SE,0.087
MORELAND AVE SE @ KEY RD SE,MORELAND AVE SE @ HILLCREST DR SE,0.191
MORELAND AVE SE @ HILLCREST DR SE,MORELAND AVE SE @ ISA DR SE,0.178
MORELAND AVE SE @ HILLCREST DR SE,ISA DR SE @ KIPLING ST SE,0.188
DUNWOODY STATION,HAMMOND DR NE @ PEACHTREE DUNWOODY RD,0.322
DUNWOODY STATION,ASHFORD DUNWOODY RD NE @ RAVINIA DR,0.341
DUNWOODY STATION,SANDY SPRINGS STATION,0.831
DUNWOODY STATION,MEDICAL CENTER STATION,0.809
DUNWOODY STATION,EAST POINT STATION,17.758
DUNWOODY STATION,BROOKHAVEN-OGLETHORPE STATION,4.224
DUNWOODY STATION,ARTS CENTER STATION,9.418
DUNWOODY STATION,MIDTOWN STATION,9.959
DUNWOODY STATION,LINDBERGH CENTER STATION,6.884
DUNWOODY STATION,AIRPORT STATION,20.249
DUNWOODY STATION,COLLEGE PARK STATION,19.631
DUNWOODY STATION,GARNETT STATION,12.258
DUNWOODY STATION,FIVE POINTS STATION,11.852
DUNWOODY STATION,PEACHTREE CENTER STATION,11.521
DUNWOODY STATION,CHAMBLEE STATION,3.191
DUNWOODY STATION,NORTH SPRINGS STATION,1.806
DUNWOODY STATION,OAKLAND CITY STATION,14.824
DUNWOODY STATION,WEST END STATION,13.383
DUNWOODY STATION,BUCKHEAD STATION,5.215
DUNWOODY STATION,NORTH AVENUE STATION,10.595
DUNWOODY STATION,DORAVILLE STATION,3.902
DUNWOODY STATION,CIVIC CENTER STATION,10.978
DUNWOODY STATION,LENOX STATION,5.287
DUNWOODY STATION,LAKEWOOD-FT MCPHERSON STATION,15.994
HAMMOND DR NE @ PEACHTREE DUNWOODY RD,HAMMOND DR @ CONCOURSE PKWY,0.182
HAMMOND DR @ CONCOURSE PKWY,HAMMOND DR NE @ BARFIELD RD NE,0.422
HAMMOND DR NE @ BARFIELD RD NE,HAMMOND DR @ GLENRIDGE DR,0.199
HAMMOND DR @ GLENRIDGE DR,JOHNSON FERRY RD NE @ GLENRIDGE DR NE,0.334
HAMMOND DR @ GLENRIDGE DR,HAMMOND DR @ KAYRON DR,0.449
JOHNSON FERRY RD NE @ GLENRIDGE DR NE,JOHNSON FERRY RD @ KAYRON DR,0.168
JOHNSON FERRY RD NE @ GLENRIDGE DR NE,HAMMOND DR NE @ GLENRIDGE DR NE,0.364
JOHNSON FERRY RD @ KAYRON DR,ROSWELL RD NE @ HILDERBRAND DR NE,0.476
JOHNSON FERRY RD @ KAYRON DR,JOHNSON FERRY RD NE @ GLENRIDGE DR NE,0.168
ROSWELL RD NE @ HILDERBRAND DR NE,ROSWELL RD NE @ SANDY SPRINGS PL NE,0.189
ROSWELL RD NE @ HILDERBRAND DR NE,ROSWELL RD NE @ MT VERNON HWY NE,0.083
ROSWELL RD NE @ HILDERBRAND DR NE,HAMMOND DR @ BOYLSTON DR,0.291
ROSWELL RD NE @ SANDY SPRINGS PL NE,ROSWELL RD NE @ HAMMOND DR NE,0.103
ROSWELL RD NE @ SANDY SPRINGS PL NE,ROSWELL RD NE @ HILDERBRAND DR NE,0.189
ROSWELL RD NE @ HAMMOND DR NE,ROSWELL RD NE @ CLIFTWOOD DR NE,0.165
ROSWELL RD NE @ HAMMOND DR NE,ROSWELL RD NE @ SANDY SPRINGS PL NE,0.103
ROSWELL RD NE @ CLIFTWOOD DR NE,ROSWELL RD NE @ ALLEN RD,0.175
ROSWELL RD NE @ ALLEN RD,ROSWELL RD NE @ LAKE PLACID DR NE,0.295
ROSWELL RD NE @ LAKE PLACID DR NE,ROSWELL RD NE @ 5630,0.158
ROSWELL RD NE @ LAKE PLACID DR NE,ROSWELL RD NE @ ALLEN RD NE,0.312
ROSWELL RD NE @ 5630,ROSWELL RD NE @ 5600,0.11
ROSWELL RD NE @ 5600,ROSWELL RD NE @ GLENRIDGE DR NE,0.155
ROSWELL RD NE @ GLENRIDGE DR NE,ROSWELL RD NE @ STEWART DR NE,0.131
ROSWELL RD NE @ GLENRIDGE DR NE,ROSWELL RD NE @ PERUCA PL NE,0.178
ROSWELL RD NE @ STEWART DR NE,ROSWELL RD NE @ MARYEANNA DR,0.133
ROSWELL RD NE @ MARYEANNA DR,ROSWELL RD NE @ MT PARAN RD NE,0.186
ROSWELL RD NE @ MT PARAN RD NE,ROSWELL RD NE @ OSNER DR NE,0.173
